bedrooms,bathrooms,sqft_living_log,sqft_lot,floors,view,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,property_age
2,2.5,7.186144304522325,1957,1.0,0,8,660,660,1420,2198,11
3,1.5,7.415175109613295,4800,2.0,0,8,1660,0,1690,4000,108
4,2.5,8.071218539969863,7535,2.0,0,9,3200,0,1650,6850,9
4,2.5,7.919719760924575,13950,1.0,3,8,1380,1370,2460,13950,67
1,1.0,7.074116816197362,4000,1.5,2,8,840,340,1420,4000,105
4,2.5,7.627057417018934,3723,2.0,0,8,2052,0,2052,5250,1
3,2.5,7.836369760545124,7000,2.5,4,9,2530,0,2380,7000,16
3,1.0,6.966967138613983,20040,1.0,0,6,1060,0,1768,10800,72
5,2.25,7.635786861395585,10488,1.0,0,7,1080,990,1740,9225,57
4,2.5,7.80016307039296,7093,2.0,0,7,2440,0,1860,6072,16
3,1.0,6.928537818164665,6120,1.0,0,7,1020,0,2370,6695,74
3,2.75,7.616283561580385,7700,1.0,0,8,1400,630,1780,8160,50
3,2.25,7.72356247227797,17114,2.0,0,7,2260,0,2360,14893,25
6,3.5,8.006700845440367,8401,1.0,0,8,1500,1500,1400,8403,36
5,3.0,7.890208213109961,11761,1.0,0,7,1370,1300,2580,10703,34
4,1.0,7.048386408721883,6000,1.5,0,6,1150,0,840,3030,108
5,2.75,7.926963544862978,6116,1.0,0,7,1490,1280,1920,6486,36
4,1.5,7.490529402060711,4080,1.5,0,7,1790,0,1710,4080,87
3,2.25,7.650168700845001,14027,2.0,0,8,2100,0,2730,5999,36
3,2.5,7.875119281040293,10131,2.0,0,9,2630,0,2800,10123,26
4,2.0,7.714677473800927,11040,1.0,0,8,1120,1120,1790,11040,54
3,2.5,8.12296471523406,6550,2.0,2,8,2840,530,1500,6550,14
6,2.75,8.071218539969863,9200,1.0,2,8,1600,1600,2220,9500,62
3,2.25,7.313886831633462,2692,2.0,0,7,1500,0,1470,2418,29
2,1.0,6.947937068614969,13920,1.0,0,6,1040,0,1100,7575,42
1,1.0,6.311734809152915,1279,2.0,0,7,550,0,1460,1385,7
5,3.25,8.32263709695394,7910,2.0,0,9,4115,0,3950,6765,1
3,2.5,7.507141079727608,8085,2.0,0,7,1820,0,1860,8625,32
3,1.0,7.0825485693553,9199,1.0,0,7,1190,0,1190,9364,60
1,1.5,7.00397413672268,3451,1.5,0,8,1100,0,1400,4560,37
4,2.0,7.099201743553092,4250,1.0,0,7,1210,0,1210,6000,74
3,2.25,7.7057128238944275,9800,2.0,0,8,2220,0,2420,10232,28
4,1.75,7.438971592395862,7800,1.0,0,7,1120,580,1560,7800,34
5,2.75,8.026496938945412,7015,1.0,0,8,1600,1460,2190,7600,36
4,1.75,7.390798521735676,10530,1.0,0,7,1620,0,1890,9975,47
3,2.5,7.565793282428515,6180,1.0,0,7,1330,600,1940,6180,54
5,3.0,7.83241092718792,5500,1.0,0,8,1550,970,1700,8000,11
4,3.25,8.232440158470336,10920,1.5,0,9,2400,1360,3430,11050,65
4,3.0,7.916078096302786,10925,1.0,0,8,1670,1070,2330,9940,35
2,1.0,6.90875477931522,5120,1.0,0,6,1000,0,1940,4300,113
3,1.5,7.346655163176539,5034,2.0,0,7,1550,0,1820,7200,93
2,1.0,6.621405651764134,5217,1.0,0,6,750,0,760,4440,72
2,1.0,6.769641976852503,5340,1.5,0,6,870,0,1190,4440,109
5,1.0,7.259116128097101,6250,1.5,0,8,1420,0,1420,6250,89
3,2.5,7.941295570906532,6300,2.0,0,8,2810,0,2860,6630,14
3,3.0,7.650168700845001,2409,2.0,0,8,1660,440,1900,2400,7
2,1.0,6.85751406254539,4000,1.0,0,6,950,0,1480,4000,105
4,2.25,7.59890045687141,7102,2.0,0,8,1995,0,1880,7950,34
3,1.0,6.68586094706836,2296,1.0,0,6,800,0,1480,1472,107
4,3.0,7.396948602621014,7626,1.0,0,7,1110,520,1630,8082,25
4,2.5,8.061802274538348,5100,2.0,0,9,3170,0,1580,5100,3
4,1.75,7.650168700845001,4400,1.5,0,7,1720,380,1850,4400,91
5,4.5,8.224967478914584,4426,2.5,0,10,2932,800,2950,4000,14
3,1.0,7.307202314764738,57381,1.5,0,5,1490,0,1580,101529,83
3,2.5,7.908754738783246,6439,2.0,0,9,2720,0,3180,7320,10
4,2.0,7.591357046698551,10051,1.0,0,7,1980,0,1520,10125,12
2,1.0,6.55250788703459,13500,1.0,0,4,700,0,1600,10124,95
3,1.75,7.359467638255621,15330,1.0,0,7,1080,490,1250,13330,59
5,1.0,7.75833346749091,4730,2.0,0,8,1810,530,2100,4970,97
3,2.75,7.824445930877619,5568,2.0,0,9,2500,0,2810,5568,110
3,3.25,7.340186835320115,1487,2.0,0,8,1540,0,1620,1104,4
3,1.0,7.244941546337007,9460,1.0,0,7,1060,340,1570,7700,54
4,2.5,7.62608275807238,6360,2.0,0,8,2050,0,2070,7541,27
4,1.75,7.75833346749091,17541,1.0,0,7,1360,980,2250,9212,59
3,2.25,7.333676395657684,12000,1.0,0,7,1070,460,2140,13636,36
5,3.25,8.213652703029998,12353,2.0,0,9,3690,0,2290,9082,38
3,2.75,7.601402334583733,7200,1.0,0,7,1000,1000,1440,7200,1
4,1.75,7.333676395657684,17664,1.5,0,7,1530,0,1530,11625,47
3,1.75,7.43307534889858,53578,1.0,0,8,1690,0,2290,52707,31
3,1.5,7.372118028337787,21600,1.5,0,7,1590,0,1780,21600,44
3,2.5,7.244941546337007,7629,1.0,0,7,1120,280,1530,7688,27
3,2.5,7.630946580890459,4200,2.0,0,8,2060,0,2370,4200,1
3,2.5,7.823245690685523,4400,2.0,0,8,2497,0,2434,4400,8
2,1.0,6.734591659972948,863,3.0,0,8,840,0,1110,1190,7
3,2.5,7.804251383528112,3582,2.0,0,9,2450,0,2490,5449,7
4,2.0,7.762596048540069,4815,1.5,0,7,1450,900,1640,4013,101
3,2.25,7.908754738783246,54450,2.0,0,11,2720,0,3170,60548,18
3,1.0,7.444833273892193,6195,1.0,0,7,1410,300,1610,6195,69
3,2.5,7.692113339595466,11394,1.0,0,8,1550,640,2190,9540,59
3,2.5,7.186144304522325,2614,2.0,0,7,1320,0,1320,2533,10
3,2.5,7.736743682453495,5089,2.0,0,9,2290,0,2290,7984,14
2,1.0,7.131698510466912,4558,1.0,0,7,1250,0,1180,4494,67
2,1.0,6.8679744089702925,6700,1.0,0,7,960,0,1350,6700,64
2,1.0,6.803505257608338,57063,1.0,0,6,900,0,1440,268765,77
2,2.5,7.359467638255621,2399,2.0,0,7,1180,390,1590,2306,6
4,1.0,7.353081920515432,7980,1.0,0,7,1170,390,1570,7980,76
3,2.25,7.9865049385539955,6500,3.0,0,9,2940,0,1680,6500,1
6,3.0,7.836369760545124,9000,1.0,0,6,2530,0,1886,6000,37
3,2.5,7.576097340623111,9618,2.0,0,7,1950,0,1890,7133,23
3,3.5,7.215975002651466,1419,2.0,0,8,1040,320,1560,1977,8
6,3.75,7.983098940710892,14980,2.0,3,9,2930,0,3210,10787,2
4,3.5,8.27664912542186,43560,2.0,0,10,3930,0,2860,36460,12
4,2.25,7.908754738783246,8712,2.0,0,9,2720,0,2470,8714,39
3,1.5,7.544861068658458,7650,1.0,0,7,1890,0,1510,7560,49
3,3.25,8.068089626278244,5283,2.0,0,9,3190,0,2950,5198,8
4,1.0,7.00397413672268,7110,1.0,0,7,880,220,1150,7110,108
4,2.5,7.8826922062890254,25248,1.0,2,9,2330,320,3020,23135,61
2,1.0,6.836259277277067,5368,1.0,0,7,930,0,1770,6000,62
3,1.75,7.313886831633462,8173,1.0,0,7,1500,0,1970,8173,18
3,1.0,7.155396301896734,5100,1.0,0,7,1280,0,1380,7140,67
4,2.5,8.219056661060598,7491,2.0,0,9,3710,0,3040,7491,12
4,2.5,8.029758520440822,8250,1.0,0,8,2100,970,2270,8800,57
4,2.5,8.049107721326406,10860,2.0,0,10,3130,0,3130,10860,25
4,1.5,8.058643712215618,19745,1.5,0,6,1840,1320,1540,8611,47
3,2.5,7.806696372521179,7566,2.0,0,8,2456,0,2478,7212,3
3,2.5,7.534228326274089,3584,2.0,0,8,1870,0,1900,3920,12
3,1.0,7.090909822079984,10458,1.0,0,6,1200,0,1160,9000,54
3,1.5,7.115582126184454,3060,1.0,0,7,910,320,1260,4488,88
3,1.75,7.490529402060711,12000,1.0,0,7,1040,750,1840,12000,55
3,1.75,7.555381944240273,17003,1.5,0,8,1910,0,1820,14806,52
6,4.0,8.188966863648876,6224,2.0,0,9,2610,990,1430,6224,9
3,2.0,7.340186835320115,1827,2.0,0,8,1540,0,1560,2058,10
4,2.25,7.496097345175956,2752,2.0,0,8,1800,0,1650,2752,1
3,2.5,7.9208096792886,65005,1.0,2,9,2165,588,2680,72513,62
3,2.5,7.450660796211539,11656,2.0,0,8,1720,0,1890,10336,16
4,2.0,7.307202314764738,13736,1.0,0,6,1490,0,2040,7200,73
3,2.0,7.762596048540069,12480,1.0,0,7,1600,750,2160,12000,34
3,1.75,7.682943169878292,4000,1.0,0,7,1110,1060,1890,4000,90
3,1.75,7.65491704784832,10200,2.0,0,7,2110,0,1800,10200,49
4,2.5,8.114025442356757,10422,2.0,0,10,3340,0,1770,9490,19
3,2.25,7.7279755421055585,32112,1.0,0,8,1740,530,2310,41606,35
3,2.5,8.068089626278244,7828,2.0,0,9,3190,0,2970,7828,9
4,2.25,7.83241092718792,8000,1.0,2,8,1680,840,2300,8000,45
2,1.0,6.85751406254539,3090,1.0,0,6,950,0,1230,4120,106
4,2.5,8.188966863648876,203425,2.0,0,9,3400,200,3150,202989,36
3,2.25,7.576097340623111,8892,2.0,0,8,1950,0,1900,8750,32
3,2.75,7.5126175446745105,3200,2.0,0,8,1830,0,2030,3331,24
3,1.0,7.147559271189454,8400,1.0,0,7,1270,0,1390,8400,60
2,1.75,7.074116816197362,900,2.0,0,10,780,400,1380,3610,1
4,2.75,8.074337694089515,41689,1.0,0,8,1610,1600,2100,41384,26
4,1.75,7.650168700845001,10358,1.0,0,8,1280,820,2080,9000,56
5,3.25,7.816416983691801,10277,2.0,0,8,1640,840,2270,10277,22
4,2.25,7.7279755421055585,5102,1.0,0,8,1340,930,1800,5102,61
3,1.5,6.878326468291325,8400,1.0,0,7,970,0,1230,8400,49
2,1.5,6.7226297948554485,1020,2.0,0,7,830,0,830,1379,9
5,3.75,8.345455428161928,14599,2.0,3,10,4210,0,3950,13591,11
4,2.25,7.664346632098617,8410,2.0,0,8,2130,0,2170,8400,38
4,2.0,7.621195162809845,8281,2.0,1,7,2040,0,2560,8281,54
3,2.25,7.678326356506885,7964,2.0,0,8,2160,0,2000,7964,24
4,1.5,7.359467638255621,8775,1.0,0,7,1570,0,980,8775,72
3,1.75,7.415175109613295,7350,1.0,0,8,1660,0,1840,7673,36
3,1.0,6.8679744089702925,4560,1.0,0,7,960,0,970,4800,47
4,2.5,7.621195162809845,5523,2.0,0,7,2040,0,1720,6646,16
3,2.25,7.528869256642251,8378,2.0,0,7,1860,0,1870,8378,20
3,1.0,6.957497370876951,9083,1.0,0,7,1050,0,1440,9071,64
3,3.5,7.804251383528112,9248,2.0,4,8,1960,490,2620,10207,22
4,2.5,7.828436359157585,5436,2.0,0,8,2510,0,2520,5436,4
4,2.5,7.591357046698551,4745,2.0,0,7,1980,0,1980,4878,11
4,3.75,8.406485069431817,20424,2.0,4,12,2659,1816,4340,5250,16
5,2.5,7.85979918056211,7084,2.0,0,8,2590,0,3010,4823,1
3,2.5,7.828436359157585,3819,2.0,0,8,2510,0,2520,3990,8
3,2.5,7.719129840906732,7752,2.0,0,8,2250,0,2080,7033,27
3,1.0,7.237778191923443,12823,1.0,0,7,1390,0,1390,10095,47
5,1.75,7.57095858316901,6654,1.5,0,7,1940,0,2300,9500,62
5,1.5,7.43307534889858,7725,1.5,0,7,1690,0,1690,7739,54
4,1.75,7.754052639035757,8800,1.0,2,7,1260,1070,2270,8800,54
4,2.5,7.793999089503996,9017,2.0,0,9,2425,0,2725,7019,2
5,2.5,8.35490952835879,20441,1.0,1,11,2490,1760,3620,16304,31
2,3.0,7.490529402060711,1709,2.0,0,7,1400,390,1460,1462,14
4,2.5,7.983098940710892,18199,2.0,0,9,2930,0,2930,33976,17
4,2.5,8.14351740579748,6332,2.0,0,10,3440,0,3310,6528,14
3,2.0,7.372118028337787,9912,2.0,0,8,1590,0,1670,9912,15
5,3.25,8.160803920954665,10457,2.0,0,11,3500,0,3500,11734,14
1,1.0,6.594413459749778,6890,1.0,0,4,730,0,1790,7969,89
3,1.75,7.456454555176209,11325,1.0,0,7,1730,0,2030,17859,43
2,3.25,7.359467638255621,2031,2.0,0,8,1310,260,1570,2039,9
3,2.5,7.43307534889858,3068,2.0,0,7,1690,0,1690,3260,10
4,2.75,8.24301946898925,9606,2.0,0,9,3800,0,3400,9677,7
3,1.75,7.201170883281678,9975,1.0,0,7,1340,0,1340,10050,54
2,1.0,6.68586094706836,5080,1.0,0,7,800,0,1560,5110,77
4,2.5,7.340186835320115,1860,2.0,0,8,1540,0,1210,1090,1
4,2.0,7.450660796211539,2410,1.0,0,7,970,750,1160,1404,9
2,1.5,6.976348070447749,877,3.0,0,8,1070,0,1320,1193,10
3,3.25,8.239329427901795,38038,1.0,4,9,1934,1852,2850,33361,9
4,2.5,8.010027528481734,9323,2.0,0,10,3010,0,2840,8413,23
3,2.5,7.333676395657684,2890,2.0,0,7,1530,0,1540,2890,14
3,1.0,6.947937068614969,8122,1.0,0,7,1040,0,1470,8676,44
3,1.0,7.43307534889858,13825,1.0,0,7,1210,480,1190,9450,60
3,1.75,7.057036981697891,6134,1.0,0,7,1160,0,1330,6301,17
2,1.0,7.293697720601438,5400,1.5,0,8,1470,0,1760,3573,103
3,2.5,7.2305631534092925,1389,3.0,0,8,1380,0,1380,1249,7
3,2.75,7.930565854233965,4000,2.0,2,8,1960,820,1490,4800,111
3,2.25,7.779466967458324,7875,1.0,1,10,1980,410,3720,9075,67
4,1.75,7.779466967458324,12000,1.0,0,8,1470,920,2110,12000,36
3,2.75,8.098946748943339,22649,2.0,0,8,3290,0,2750,6119,22
2,1.0,6.746412128573375,2850,1.0,0,7,850,0,1450,4015,88
2,1.0,6.608000625296087,4275,1.0,0,6,740,0,1900,4275,91
4,2.5,7.80016307039296,11700,1.0,0,8,1480,960,2140,10807,54
3,2.5,7.852050207265889,5000,2.0,0,11,2570,0,1570,5000,31
3,1.0,6.918695219020472,10215,1.0,0,6,1010,0,1320,10245,60
5,4.5,8.560444233410552,67319,2.0,0,11,5220,0,4190,40609,14
2,1.0,6.836259277277067,5000,1.0,3,7,930,0,1760,5228,2
3,1.75,7.701200180857446,7920,1.0,0,7,1400,810,2220,7920,49
3,2.5,7.576097340623111,8251,2.0,0,7,1950,0,1540,8588,25
4,2.5,8.000014093678072,5896,2.0,0,8,2980,0,2900,5712,14
4,1.75,7.710205194432532,7957,1.0,0,7,2230,0,2230,8040,48
3,1.0,7.057036981697891,7202,1.0,0,7,1160,0,1620,8598,58
3,2.0,7.427144133408616,8487,1.0,0,7,1680,0,2080,8560,22
3,1.5,7.427144133408616,8712,1.0,0,8,1680,0,1850,8797,51
2,1.0,7.090909822079984,9000,1.0,2,6,1200,0,1660,9000,98
4,2.5,8.03947991910045,36562,2.0,0,10,3100,0,3080,39351,21
2,2.25,7.749753406274437,9300,1.5,4,9,1920,400,2790,9300,78
3,1.75,7.62608275807238,16313,1.0,0,8,2050,0,3180,10264,42
2,1.0,6.803505257608338,8000,1.0,0,6,900,0,1240,8000,61
3,2.75,7.75833346749091,8828,1.0,0,9,2340,0,3480,8526,61
3,1.75,7.611347717403621,215622,2.0,0,7,2020,0,1810,215622,40
3,1.5,7.359467638255621,12196,1.0,0,7,1570,0,1740,12196,43
5,2.5,7.962415680121064,16238,2.0,0,8,2870,0,2870,16238,53
3,2.5,7.534228326274089,4657,2.0,0,8,1870,0,2290,4795,15
3,2.5,7.591357046698551,3128,2.0,0,8,1890,90,2160,2240,6
3,1.75,7.131698510466912,4120,1.0,0,7,980,270,1250,4120,90
3,3.0,7.528869256642251,2875,2.0,0,8,1710,150,1350,4830,6
3,2.5,7.75833346749091,5171,2.0,0,8,2340,0,2790,5684,2
4,1.75,7.640603826393634,7200,1.0,0,7,1050,1030,1500,7350,49
3,1.0,7.0825485693553,5280,1.0,0,7,1190,0,1280,5280,58
3,1.75,7.645397699428633,7505,1.0,0,7,2090,0,1510,7416,48
3,2.5,7.659642954564682,3600,2.0,0,9,2120,0,2540,4592,10
3,2.75,7.8826922062890254,9752,1.0,0,9,2650,0,3030,9910,26
3,1.0,7.378383712996714,12566,1.0,0,7,1600,0,1600,10650,44
4,2.75,8.263848131368906,15025,2.0,0,7,3880,0,2620,5300,11
2,1.0,7.749753406274437,11250,2.0,0,6,2320,0,1620,11250,73
3,1.75,7.415175109613295,11500,1.0,0,7,1130,530,1250,11000,36
3,1.0,7.057036981697891,11776,1.0,0,7,1160,0,1160,10050,47
4,3.5,8.240385115516334,90169,2.0,0,11,3790,0,3410,46951,17
3,2.0,7.490529402060711,8228,1.0,0,7,1390,400,1880,8228,35
4,1.75,7.490529402060711,11875,1.0,0,7,1490,300,1870,11760,46
1,1.0,6.580639137284949,6000,1.0,0,6,720,0,1040,6000,75
3,2.5,7.839525581704678,4600,2.0,0,8,2538,0,2570,4800,2
3,2.5,7.300472814267799,8381,1.0,0,7,1480,0,1710,8050,47
2,1.5,6.976348070447749,1200,2.0,0,7,1070,0,1070,1200,16
4,3.75,8.064950891749143,9889,2.0,0,9,2500,680,2910,8558,3
2,1.5,7.01301578963963,986,2.0,0,7,950,160,1110,3515,6
3,1.0,7.039660349862076,10477,1.0,0,6,1140,0,1190,9750,73
5,3.0,7.824445930877619,11779,1.0,0,8,1550,950,2580,12055,44
5,2.5,7.796057974316123,4781,2.0,0,9,2430,0,2420,4770,14
3,1.75,7.496097345175956,10200,1.0,0,8,1800,0,2140,10128,48
3,2.0,7.201170883281678,9750,1.0,0,7,890,450,1460,12900,41
3,2.0,6.918695219020472,2820,1.5,0,7,1010,0,1330,3000,110
3,3.0,7.427144133408616,1570,3.0,0,8,1680,0,1640,4800,1
2,1.0,6.957497370876951,7500,1.5,3,6,1050,0,2540,13680,105
1,0.5,6.78105762593618,1642,1.0,0,6,500,380,1410,2992,105
6,3.25,8.35490952835879,23326,1.0,3,10,2150,2100,3370,15983,48
2,1.0,6.947937068614969,4590,1.0,0,7,1040,0,1040,6120,61
2,1.0,6.769641976852503,10492,1.0,0,7,870,0,1300,7987,78
2,1.0,6.78105762593618,3000,1.0,0,6,880,0,890,3000,91
4,2.5,7.479299637782834,4338,2.0,0,7,1770,0,1770,6606,14
3,2.0,7.53955882930103,10758,1.0,0,6,940,940,2060,21000,63
3,1.0,7.115582126184454,8750,1.0,0,6,1230,0,1230,8750,50
4,2.75,7.8826922062890254,8610,2.0,0,8,2650,0,1680,8316,8
2,1.0,6.898714534329988,8140,1.0,0,6,990,0,2150,5000,105
4,2.0,7.58629630715272,6480,1.5,0,7,1130,840,1500,6480,95
4,3.5,8.219056661060598,10400,2.0,0,8,2290,1420,1720,4276,13
3,3.0,7.993282328101591,42159,2.0,0,10,2960,0,2640,25209,20
4,1.75,7.840312983320164,7200,1.0,0,7,1270,1270,1650,7200,68
3,2.0,7.57095858316901,55756,1.0,0,9,1940,0,2330,10018,61
4,2.5,8.174984532943087,8618,2.0,0,10,3550,0,1310,9746,8
2,1.5,7.404887575616125,14616,1.0,1,7,1643,0,2270,9940,61
3,2.0,7.560601162768557,7598,1.0,0,8,1920,0,2220,7598,43
3,2.5,7.560601162768557,15260,2.0,0,7,1920,0,2370,15235,25
4,2.0,7.7752758464868625,4500,1.5,0,6,1470,910,1300,4500,1
3,1.0,7.365812837209472,6300,1.0,0,7,1180,400,1560,1601,90
5,2.5,7.8636512654486515,3839,2.0,0,7,2600,0,2180,4800,10
4,2.5,7.72356247227797,3713,2.0,0,9,2260,0,2260,3713,12
4,1.0,7.099201743553092,3760,1.5,0,6,1210,0,1540,3800,115
2,1.0,6.698268054115413,5060,1.0,0,6,810,0,900,5060,74
3,2.0,7.630946580890459,4437,1.0,0,7,1030,1030,1750,4452,86
3,2.0,7.396948602621014,8018,1.0,0,7,1630,0,1610,8397,12
3,1.75,7.293697720601438,4950,1.0,0,7,1030,440,1100,5250,31
3,2.25,7.479299637782834,8755,1.0,0,8,1330,440,1910,8710,34
7,3.5,8.266421472984554,8342,2.0,4,9,2840,1050,2870,8342,47
3,2.5,6.976348070447749,1155,2.0,0,7,720,350,1120,2594,10
3,1.75,7.687538766201629,9220,1.0,0,7,1090,1090,2050,22400,77
4,3.5,8.237743803890933,20023,2.0,2,10,3780,0,2150,3675,14
3,2.5,7.333676395657684,9406,1.0,0,7,1270,260,1700,7682,22
4,2.5,7.908754738783246,8666,2.0,0,9,2720,0,2410,8100,23
3,1.75,7.32052696227274,8250,1.0,0,8,1510,0,1770,8250,53
4,1.75,7.808323050391055,5750,1.5,3,7,1620,840,1760,4830,96
4,2.5,8.157943507105037,18521,2.0,0,9,3490,0,2850,18521,25
4,3.25,8.224431573221159,7071,3.0,2,11,3730,0,3730,7680,30
2,1.0,7.186144304522325,8865,1.0,0,6,1320,0,1190,6490,72
3,1.0,7.186144304522325,5000,1.5,0,7,1320,0,1320,4179,103
3,2.25,7.359467638255621,7187,1.0,0,8,1170,400,1660,8775,35
4,2.0,7.43307534889858,35346,1.0,0,7,1690,0,2050,37846,48
4,3.25,8.2482674474469,24166,2.0,1,11,3310,510,2900,18786,25
4,5.5,8.784315349902657,871200,2.0,2,11,6530,0,1280,858132,7
3,2.5,7.696667081526462,4544,2.0,0,8,2200,0,2400,5431,15
2,1.0,6.878326468291325,13700,1.0,0,6,970,0,1570,10880,66
3,1.0,7.186144304522325,5750,1.5,0,7,1320,0,1010,5700,102
2,1.0,7.039660349862076,5400,1.0,0,7,1140,0,1520,4800,107
2,2.5,7.664346632098617,5001,1.0,0,8,1330,800,1750,6000,43
5,1.5,7.450660796211539,5000,1.5,0,8,1720,0,1720,5000,100
3,2.0,7.237778191923443,6005,2.0,0,8,1390,0,1264,5550,10
4,3.0,8.019941687677365,11651,2.0,0,10,3040,0,2540,11815,28
3,1.0,7.186144304522325,5000,1.0,0,7,1090,230,1700,5000,95
5,3.0,8.204124932574041,51836,1.0,0,8,2174,1481,2530,8606,60
2,1.0,6.566672429803241,5100,1.0,0,7,710,0,1530,5100,110
3,1.75,7.13966033596492,6223,1.0,0,7,820,440,1260,6553,32
3,2.5,7.635786861395585,4697,2.0,0,7,2070,0,2230,4437,13
4,2.5,7.645397699428633,10306,2.0,0,10,2090,0,2660,11481,29
3,1.75,7.67368812926773,8925,1.0,0,7,2150,0,1100,7875,55
5,3.0,7.710205194432532,4400,2.0,0,7,1730,500,1280,1800,102
3,1.5,7.300472814267799,10588,1.0,0,7,1480,0,1370,10588,58
2,2.0,6.878326468291325,5000,1.0,0,7,970,0,1540,5000,32
2,2.5,7.123672785204607,1546,2.0,0,7,1240,0,1520,2468,8
4,3.0,7.81762544305337,6870,2.0,0,8,2483,0,1943,6434,10
2,1.75,7.107425474110705,5000,1.0,0,7,860,360,1120,5000,94
