bedrooms,bathrooms,sqft_lot,floors,view,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,price_log,sqft_living_log,property_age
2,1.5,9643,1.0,0,7,1070,0,1220,8386,12.43996225063003,6.976348070447749,30
3,2.25,6500,2.0,0,8,2450,0,2200,6865,12.703816069256568,7.804251383528112,30
3,2.0,4697,1.5,0,6,1710,0,1030,4705,12.358798024384122,7.444833273892193,74
3,1.75,2691,2.0,0,8,1750,700,1760,3573,13.75043962845585,7.804251383528112,100
3,1.0,1581,1.5,0,8,1400,0,1860,3861,13.410546824147012,7.244941546337007,106
3,1.75,6380,1.0,0,7,790,730,1520,6235,12.989976472461,7.327123292259293,67
4,2.5,7173,2.0,0,8,2570,0,2630,6026,13.4856180275228,7.852050207265889,10
3,2.5,3980,2.0,0,8,2320,0,2580,3980,13.271646802771485,7.749753406274437,12
2,1.5,1265,3.0,0,7,1190,0,1390,1756,12.54254845357358,7.0825485693553,10
4,1.75,5000,1.5,0,7,1510,820,1460,5000,13.44081856306726,7.754052639035757,86
3,1.0,3000,1.5,0,8,1090,0,1570,5080,13.190023895035274,6.994849985833071,86
4,2.75,6659,1.0,0,7,1280,780,2020,8720,12.683861515988351,7.630946580890459,34
3,2.5,3060,1.5,0,8,1510,790,1590,3264,13.453106376097134,7.741099090035366,13
4,1.0,34848,1.0,0,5,930,730,2160,11467,13.217675375388819,7.415175109613295,82
4,2.0,6000,2.0,0,8,2360,0,1730,4700,13.369225017834633,7.766840537085513,111
4,1.0,8075,1.0,0,7,890,330,1290,7800,12.388398368982115,7.107425474110705,46
4,2.5,7553,2.0,0,8,2620,0,2620,11884,13.312985389904174,7.8713112033234065,19
4,2.5,5520,2.0,0,9,2570,0,2470,5669,13.345508528717259,7.852050207265889,15
4,2.25,24186,1.0,0,8,2600,1620,2410,30617,13.560619598657233,8.347827345782498,31
5,2.75,5639,2.0,0,9,3595,0,3625,5639,13.667000108756058,8.18757739559151,1
3,1.0,2280,2.0,0,7,1570,0,1580,2640,13.437175577097312,7.359467638255621,93
3,1.0,9656,1.0,0,6,920,360,1340,8808,12.6410997921206,7.155396301896734,56
3,2.5,13603,2.0,0,8,3160,0,3050,9232,13.098072734013513,8.058643712215618,12
3,1.0,8528,1.0,0,6,990,0,1228,8840,12.257198175846119,6.898714534329988,49
4,2.5,13416,2.0,0,9,2290,0,2680,13685,13.573440270649085,7.736743682453495,34
3,1.75,5963,1.0,0,7,1250,0,970,5100,13.017005083966255,7.1316985104669115,62
3,2.5,65005,1.0,2,9,2165,588,2680,72513,14.115615891155079,7.9208096792886,62
3,1.0,9199,1.0,0,7,1190,0,1190,9364,12.337105293891872,7.0825485693553,60
5,2.5,9134,1.0,0,8,1640,1510,1990,9133,12.75130259456002,8.055475141757274,49
3,1.75,4080,1.0,0,7,1000,410,1410,4080,13.304686600863562,7.252053951852814,65
2,1.75,8550,1.0,0,7,990,990,1480,6738,13.279368835614243,7.591357046698551,34
5,2.25,6000,1.5,0,8,2130,600,2730,6000,13.732130035981154,7.912423121473705,88
4,2.5,5000,2.0,0,9,2830,0,1950,5000,13.69334405393293,7.9483852851118995,20
4,2.5,4495,2.0,0,7,2250,0,2250,4500,12.586223364451623,7.719129840906732,7
3,2.5,4750,2.0,0,8,2420,0,2690,4750,12.614868865984631,7.791935956938058,12
5,3.25,14342,2.0,4,8,3250,0,2960,11044,13.765270393051685,8.086717920303906,47
4,3.0,9976,2.0,0,8,1850,0,2270,8542,12.971542813248437,7.523481312573497,24
3,2.25,21235,1.0,3,8,1590,560,2570,18900,13.384729180332174,7.67368812926773,56
3,1.75,8400,1.0,0,7,1260,0,1290,8750,12.574185427296195,7.13966033596492,61
3,1.75,8690,2.0,0,8,2519,0,2500,9500,13.132315688453556,7.832014180505469,42
3,1.75,1044,3.0,0,8,1540,0,1580,3090,13.215855541983634,7.340186835320115,1
3,2.25,6000,1.0,0,7,1110,550,1440,4080,12.959846800844963,7.415175109613295,36
3,2.75,3809,1.5,0,7,1770,1000,1440,4000,12.668629868984294,7.9269635448629785,90
4,2.5,11049,2.0,0,10,2720,0,2750,11049,13.790193775620484,7.908754738783246,26
4,2.5,4648,2.0,0,7,2240,0,2221,4557,12.567240979056246,7.714677473800927,10
3,1.0,12070,1.0,0,7,1000,0,1010,12635,12.225880174775122,6.90875477931522,47
5,2.25,20158,1.0,0,8,1600,1600,3390,20158,14.096923772119156,8.071218539969863,50
5,3.25,50094,1.0,0,11,3070,1700,3530,38917,13.854732232655556,8.470311205516108,42
3,2.0,5612,1.0,0,7,1260,0,1640,4745,12.691583538230217,7.13966033596492,43
4,2.0,7807,1.5,0,7,2250,500,1510,7807,13.255146239950099,7.919719760924575,99
4,2.5,5000,2.0,0,8,2380,0,2420,5000,12.793862088206213,7.7752758464868625,10
3,1.75,50529,1.0,0,7,1090,700,1940,50529,12.762830066509972,7.490529402060711,50
4,4.0,35102,2.0,0,10,2390,1040,3240,35020,13.632189702037216,8.14060704285845,29
4,1.75,7300,1.0,0,7,880,880,1680,7500,12.847929163278053,7.473637108496206,59
3,1.0,5060,1.0,0,7,1040,0,890,5060,13.081543466215237,6.947937068614969,74
3,1.0,5060,1.0,0,7,910,500,1130,5693,12.923914877701906,7.252053951852814,59
4,2.5,39683,2.0,0,10,3450,0,3350,39750,13.487007879880162,8.146419323098003,13
3,2.5,5100,2.0,0,8,2350,0,2350,5363,12.873904582205107,7.762596048540069,12
4,2.5,5889,2.0,0,7,1900,0,1870,6405,12.793862088206213,7.550135342488429,23
2,1.0,6720,1.0,0,7,1010,1010,1720,6720,12.779875885354993,7.611347717403621,67
3,1.5,8712,1.0,0,8,1680,0,1850,8797,12.782688818818986,7.427144133408616,51
3,1.0,6634,1.0,0,6,960,0,1570,7203,12.660331092405906,6.8679744089702925,63
3,1.5,3600,2.0,0,9,1900,240,2020,4800,13.753636218075409,7.669028288589683,90
5,2.25,8400,1.5,0,7,2660,0,1590,8165,12.628070334272698,7.886457270977689,54
3,3.25,6278,2.0,0,9,1980,790,1900,7349,13.04115549117383,7.9269635448629785,9
2,2.25,2040,2.0,0,7,1610,0,1950,2025,12.278397958261774,7.384610383176974,36
2,1.75,1066,2.0,0,7,765,265,1030,1106,12.721888795877375,6.93828448401696,9
4,2.5,7403,2.0,0,7,1980,0,1980,7510,12.40287632827253,7.591357046698551,27
5,2.75,6353,2.0,0,10,3520,0,2520,6250,13.910712550098342,8.166500319155052,14
3,1.0,10500,1.0,0,7,1200,0,1350,10500,11.938199736300925,7.0909098220799835,53
3,1.5,5000,1.0,0,8,1290,290,1570,4500,12.971542813248437,7.365812837209472,76
3,1.5,5000,1.0,0,8,1290,290,1570,4500,13.45883704259595,7.365812837209472,76
4,2.5,10250,1.0,0,7,2390,910,1950,6045,13.715691327653829,8.101980731853192,24
3,1.75,15681,1.0,0,7,1960,0,1750,15616,12.419169901386761,7.581209826196346,48
4,1.5,6400,1.0,0,7,1160,0,1160,6400,12.201065128819632,7.057036981697891,40
3,1.75,41800,1.0,0,7,1210,600,1650,135036,12.657151449598695,7.501634457883413,35
3,2.5,36847,2.0,2,9,2320,0,2550,35065,12.988834270491479,7.749753406274437,23
3,2.5,13241,1.5,0,9,1270,800,2200,4500,13.653968797939685,7.635786861395585,105
3,2.0,3478,1.5,0,7,1440,540,1610,3478,13.22672519452875,7.591357046698551,86
3,2.25,107593,2.0,0,8,2190,0,2570,47777,13.458765611575428,7.692113339595466,32
3,2.5,8113,2.0,0,8,2920,0,2370,8113,13.89985262551525,7.979681302387741,5
3,1.0,33919,1.0,0,7,1210,0,1640,14910,12.577639650232573,7.099201743553092,61
3,2.5,10005,1.0,0,8,1460,880,2250,8162,12.834683971615659,7.75833346749091,37
3,1.0,4005,1.5,0,7,1170,500,1240,4005,13.038983942375959,7.421177528595393,76
2,1.75,2493,1.0,0,8,1240,0,1270,4966,12.146858590895919,7.123672785204607,30
4,2.5,28037,2.0,0,10,3140,0,2990,35001,13.429849547739444,8.052296499538647,24
5,1.75,12342,2.0,0,7,2030,0,2500,9433,13.060490101343552,7.616283561580385,73
4,2.5,9624,2.0,0,8,2310,0,1940,9636,13.300929558259364,7.745435610274381,31
3,1.75,3328,1.0,0,6,700,560,1380,3536,13.25339339419516,7.13966033596492,110
3,1.75,12600,1.0,0,7,1160,380,1540,11656,12.515397562803473,7.340186835320115,35
3,1.75,5969,1.0,2,7,1080,1000,2090,5500,12.706699437569211,7.640603826393634,44
4,2.5,16171,2.0,3,9,2520,710,2640,8517,13.081543466215237,8.080546965824498,14
3,3.5,6350,2.0,0,8,2780,1600,1830,6350,13.51508226312797,8.385032287813898,16
3,3.5,1102,3.0,0,8,1590,0,1620,3166,13.158697235290168,7.372118028337787,5
2,1.0,6780,1.0,0,6,880,0,1190,6780,12.232841150744216,6.78105762593618,70
4,2.0,9600,1.0,0,6,1570,0,1880,9000,12.054092109237121,7.359467638255621,65
4,1.0,2982,1.5,0,7,1610,0,1610,4040,13.190023895035274,7.384610383176974,90
3,2.5,6474,1.0,2,8,1560,840,2340,10856,13.399996629152975,7.783640596221253,51
3,2.0,9132,1.0,0,7,1450,0,1580,9104,12.87774334868815,7.280008252884188,28
2,1.0,6000,1.0,0,6,770,0,1710,6000,12.886643575525625,6.647688373563329,62
4,1.75,4400,1.5,0,7,1720,380,1850,4400,13.005831808336863,7.650168700845001,91
3,2.25,10204,2.0,0,9,2910,0,2700,13992,13.554147092530322,7.976251943745623,25
4,2.75,17789,1.5,0,8,1980,770,3060,11275,14.187074804051692,7.919719760924575,23
3,2.25,8201,1.0,2,8,1620,480,2660,8712,13.005831808336863,7.650168700845001,48
4,2.25,8811,1.0,0,8,1360,800,2090,8400,12.468440756144114,7.6783263565068856,37
5,3.5,4960,2.0,0,7,1720,600,1700,4960,13.620104977426395,7.749753406274437,89
4,2.5,4310,2.0,0,7,2070,0,1970,3748,12.971542813248437,7.635786861395585,11
3,1.75,7875,1.0,0,7,1060,0,1420,7680,12.264346270624157,6.966967138613983,29
4,2.25,9603,1.0,0,8,1440,570,2060,9793,13.400753916947913,7.606387389772652,29
3,3.5,111078,1.5,0,9,2460,1490,2480,88500,13.572165574841936,8.281723990411392,26
3,2.5,2287,2.0,0,8,1390,620,1690,1662,13.024192509731431,7.606387389772652,1
4,3.5,2278,3.0,0,9,2140,0,1540,2285,13.42246945133505,7.669028288589683,10
3,1.75,17390,1.0,0,7,1320,0,1550,19265,12.201065128819632,7.186144304522325,59
4,1.75,7840,1.0,0,7,1010,1010,1750,8140,12.301387370778713,7.611347717403621,47
4,2.25,10002,1.0,0,8,1340,1250,1550,10436,13.021439671201302,7.85979918056211,47
2,1.0,4440,1.0,0,6,1190,0,1060,5715,12.854486546624395,7.0825485693553,34
3,2.25,1249,3.0,0,8,1170,0,1350,1310,13.161489855348382,7.065613363597717,1
2,1.0,3200,1.0,0,7,1110,0,1170,3600,13.407543823396258,7.01301578963963,90
5,2.5,9375,1.0,0,8,1550,1270,2820,9375,13.17628511440807,7.944846711001996,47
3,1.0,8579,1.0,0,7,1010,600,1610,8579,12.230770136157428,7.384610383176974,53
3,1.0,8097,1.0,0,7,940,120,1560,7940,12.948012371209098,6.966967138613983,92
4,2.25,8517,1.0,0,8,1380,650,2230,8824,13.122365377402328,7.616283561580385,54
4,2.5,315374,2.0,0,9,3670,0,2840,87991,13.733759141278622,8.208219383496834,21
4,1.0,4000,2.0,0,8,2370,180,2200,4000,13.698977865303197,7.844240718141811,110
2,2.5,60984,2.0,0,7,2420,0,1940,193842,12.971542813248437,7.791935956938058,8
5,2.0,12500,1.0,0,8,1130,1130,1360,18000,12.460718739865236,7.72356247227797,55
3,1.0,3455,1.0,0,7,980,450,1450,4599,13.144126826131089,7.266128779556451,68
3,2.0,3090,2.0,0,8,1360,0,1500,3090,13.184720145248114,7.215975002651466,25
3,1.0,5000,1.5,0,7,1110,0,1420,5000,13.235693848424024,7.01301578963963,68
3,1.0,8200,1.0,0,7,1250,0,1680,8633,12.553029016757746,7.1316985104669115,61
4,3.25,19850,2.0,3,12,3540,1640,3160,9750,14.626441218624949,8.552753366814787,9
1,1.0,5100,1.0,0,7,700,0,1010,5100,12.765691290604371,6.55250788703459,73
3,1.0,7669,1.0,0,7,1180,0,1190,7669,12.278397958261774,7.074116816197362,48
5,3.5,25245,2.0,0,9,2500,1460,2640,13675,13.384729180332174,8.284251797621916,19
4,2.75,7500,1.0,0,8,1620,1020,1980,7875,12.676079399771027,7.878912912297133,48
3,2.0,7198,1.5,0,7,1270,0,1160,7198,12.417147664184915,7.147559271189454,2
4,1.75,11180,1.0,0,8,1760,0,1730,11180,12.676079399771027,7.473637108496206,47
5,2.25,8632,1.0,0,7,1030,1030,1010,11680,12.449022745701502,7.630946580890459,53
3,1.75,9660,1.0,0,7,1780,0,1200,9660,12.989976472461,7.484930283289661,53
3,2.5,16603,2.0,0,10,3400,0,3400,12601,13.710151153416941,8.131824785007195,15
3,2.75,7280,1.0,0,7,1160,750,1710,8152,12.996802422000108,7.555381944240273,36
3,2.0,38332,1.0,0,7,1010,1010,2110,36590,12.948012371209098,7.611347717403621,40
3,1.75,7000,1.0,0,7,1180,400,1640,7500,12.821260987319457,7.365812837209472,39
2,1.75,7250,1.0,0,5,700,640,1830,9750,12.505995740029274,7.201170883281678,66
4,2.5,4499,2.0,0,9,2680,0,2920,4500,13.601204094315538,7.893945138235959,16
3,2.5,9750,1.0,0,8,1610,1070,2480,8750,13.389333939650964,7.893945138235959,36
3,2.0,8336,1.0,0,7,1370,0,1770,7288,12.82530683492637,7.223295679562314,51
3,1.75,21000,1.0,0,7,1560,0,1070,7920,12.556733038263905,7.353081920515432,61
3,1.75,7140,1.0,0,7,1670,490,1930,7350,12.513561021741964,7.6783263565068856,37
3,1.5,7912,1.5,0,7,1340,0,1480,7940,12.653961664405365,7.201170883281678,60
4,2.5,35003,2.0,0,10,2570,1310,3740,35230,13.729408948828524,8.263848131368906,31
4,2.25,8190,2.0,0,8,2590,0,2260,8335,13.419502094509863,7.85979918056211,35
3,2.5,1100,2.0,0,8,820,300,1590,1795,12.959846800844963,7.02197642307216,7
5,2.75,5400,1.0,0,7,1320,650,1280,2150,12.899097318586382,7.58629630715272,29
3,1.0,4800,1.0,0,6,1220,0,1200,4800,12.861001210669146,7.107425474110705,114
3,1.5,7560,1.0,2,7,1320,630,1950,8941,12.505995740029274,7.576097340623111,40
2,1.0,8220,1.0,0,7,1060,290,1540,8280,12.706850963741102,7.208600337960199,66
3,2.5,5797,2.0,0,7,1670,0,1670,6183,12.468440756144114,7.421177528595393,27
4,3.0,5125,1.5,0,7,1680,700,1410,5375,13.060490101343552,7.7752758464868625,90
4,3.0,9600,2.0,0,7,2440,0,2290,9600,13.286183160425152,7.80016307039296,54
2,1.5,3419,2.0,0,7,1050,0,1050,3417,12.004574385508691,6.957497370876951,19
4,2.75,13412,2.0,0,9,2140,990,2260,9984,13.635188201437066,8.049107721326406,22
5,3.0,12850,1.0,2,10,2090,2000,2540,10270,13.90626583447433,8.316544717929398,29
4,1.75,10000,1.0,0,8,1100,390,2190,8910,12.502470376049185,7.307202314764738,46
3,2.5,8744,2.0,0,8,1900,0,2030,8744,13.235693848424024,7.550135342488429,28
4,1.0,2400,1.5,0,6,1330,0,1330,4400,13.329379172803593,7.193685818395112,114
3,2.25,10026,1.0,0,8,1430,800,2230,9340,13.27969015095896,7.7102051944325325,40
3,1.75,9480,1.0,0,7,1220,430,1540,8400,12.628070334272698,7.409136443920128,38
3,1.0,8820,1.0,0,6,1190,0,1230,7980,12.025455635171172,7.0825485693553,56
3,2.5,9897,1.0,0,8,2140,0,2680,10083,13.591117476312084,7.669028288589683,56
3,2.5,7508,1.0,0,7,1420,760,1900,7818,12.899222326086994,7.687538766201629,53
3,1.0,10228,1.0,0,7,1060,0,1570,10228,12.345838935721968,6.966967138613983,67
3,2.5,5025,2.0,0,8,1690,0,2550,5001,12.456379900115223,7.43307534889858,12
4,2.0,6480,1.5,0,7,1130,840,1500,6480,12.955129822091815,7.58629630715272,95
3,2.5,4084,2.0,0,8,2150,0,1750,2385,13.049794835104816,7.67368812926773,8
3,2.5,66211,2.0,0,7,1910,0,2330,67268,12.994532278619134,7.555381944240273,18
3,1.75,155073,1.0,0,7,1350,0,1560,50965,12.861001210669146,7.208600337960199,46
3,1.0,11725,1.0,0,6,860,0,1300,9514,12.25486757159303,6.7580945044277305,72
3,2.5,14952,2.0,0,8,1940,0,2030,10450,12.601490784782536,7.57095858316901,21
3,1.0,5000,1.0,0,7,1010,0,1680,5000,13.060490101343552,6.918695219020472,63
3,1.5,7370,1.0,0,7,900,400,1430,7500,12.330504638906516,7.170888478512505,39
3,1.0,8450,1.0,0,6,910,0,1400,8040,12.521799024438941,6.814542897259958,53
4,1.75,11010,1.0,0,9,1630,850,2770,10744,13.641158361294979,7.816416983691801,49
3,2.5,4587,2.0,0,8,2440,0,2750,4587,13.426756538561795,7.80016307039296,5
3,1.0,5864,1.0,0,7,1010,0,1290,5000,12.959846800844963,6.918695219020472,100
2,0.75,9600,1.0,0,6,900,0,1250,14280,12.102105602982014,6.803505257608338,74
6,3.0,3404,2.0,0,7,1600,700,1560,1312,13.047641986378483,7.741099090035366,21
4,2.25,7579,2.0,0,8,1550,0,1630,6397,12.676079399771027,7.346655163176539,22
3,2.25,1566,2.0,0,8,1060,210,1160,1327,13.34631460246227,7.147559271189454,1
4,2.5,12032,1.0,0,9,2240,0,2520,12368,13.292107839753712,7.714677473800927,32
3,2.5,17936,2.0,0,9,2714,0,2590,18386,13.049794835104816,7.906547232368036,10
4,2.75,6270,2.0,0,8,1720,0,2130,8700,13.07527386630434,7.450660796211539,37
2,1.0,16400,1.0,0,6,850,0,1100,14459,12.54254845357358,6.7464121285733745,92
5,3.0,33474,1.0,3,9,1870,1430,3836,20953,14.22430412061672,8.101980731853192,24
3,2.5,5692,2.0,0,8,2250,0,1320,5390,13.007713179283789,7.719129840906732,15
2,2.25,14864,1.0,3,8,1950,1950,2580,5184,13.88503755344827,8.268988209506656,68
2,1.5,10800,1.0,0,8,1320,0,2120,12040,13.054086677976365,7.186144304522325,68
4,2.5,6440,2.0,0,10,2760,0,3070,8127,13.438634364432907,7.923348211930154,16
3,2.0,9750,1.0,0,7,1350,400,1900,10125,12.5423698668371,7.467942332285852,54
4,2.25,19436,2.0,0,8,2330,0,1910,10055,13.174957725054906,7.754052639035757,28
3,2.25,16020,1.0,0,8,1780,440,2080,9583,12.691583538230217,7.7057128238944275,49
3,2.25,8379,2.0,0,7,2020,0,2020,8031,12.700771936142122,7.611347717403621,21
3,2.25,7500,1.0,0,7,1250,0,1280,7392,12.873904582205107,7.1316985104669115,73
2,2.0,6516,1.0,0,8,1510,0,1640,6009,13.081439294339882,7.32052696227274,10
4,2.25,9753,1.0,0,7,1120,600,1510,9753,12.487300182210822,7.450660796211539,37
3,1.0,15246,1.0,0,7,980,450,1960,13068,12.367345048436391,7.266128779556451,54
3,2.5,4729,2.0,0,7,1480,0,2250,4729,13.154832503648379,7.300472814267799,11
2,1.75,15798,2.0,4,7,1230,220,2030,13193,13.39239204133378,7.280008252884188,37
4,2.75,15347,1.0,0,7,2280,0,2280,15347,13.122365377402328,7.732369222284388,55
6,2.75,7350,1.0,0,8,1780,1160,2120,8236,12.660331092405906,7.9865049385539955,37
2,1.0,10200,1.0,0,6,1000,0,1150,13702,12.269052139516223,6.90875477931522,54
3,1.5,5280,1.5,0,7,1620,860,2090,4800,13.07107218827772,7.816416983691801,68
5,4.0,28040,2.0,0,10,3760,0,3430,35096,13.840204146163925,8.232440158470336,32
3,2.0,94300,1.0,0,7,1640,580,2070,80100,12.938442943086665,7.7057128238944275,39
4,1.0,4740,1.5,0,7,1670,300,1510,4740,12.923914877701906,7.58629630715272,10
3,3.5,221284,2.0,0,10,3530,300,2920,148539,13.592368256649284,8.25088114470065,22
6,2.5,14034,1.0,2,9,2350,2060,2600,13988,13.064736383209516,8.39185670010494,50
3,1.75,8505,1.0,0,7,1430,0,1190,8640,12.323860125621126,7.266128779556451,47
2,1.0,6000,1.0,0,6,830,0,830,4960,12.25486757159303,6.7226297948554485,75
2,1.0,5000,1.5,0,7,1430,0,1450,3750,13.02805489573287,7.266128779556451,90
3,1.0,8316,1.0,0,6,1300,0,1260,8316,12.323860125621126,7.170888478512505,61
2,1.0,3060,1.0,2,7,790,240,1390,3060,13.081543466215237,6.93828448401696,97
3,2.5,11872,2.0,0,9,2740,0,2570,10377,12.80216086806413,7.916078096302786,25
4,2.5,8354,1.0,4,9,1830,1820,3120,18841,14.690979711984754,8.202756381655638,15
2,1.5,5120,1.0,0,6,720,0,1150,2566,12.10625783509458,6.580639137284949,61
4,2.0,7312,1.0,0,7,2010,0,2010,7650,12.429220196836383,7.606387389772652,39
3,1.75,3000,1.0,0,6,770,790,1390,3000,13.083624628087817,7.353081920515432,97
3,2.0,7209,1.0,0,7,1240,570,1750,7209,12.468440756144114,7.501634457883413,37
4,2.5,7685,2.0,0,9,3360,0,3060,6567,13.02805489573287,8.119993827725105,14
3,2.25,36224,2.0,0,8,1510,0,1730,36224,12.936036208848487,7.32052696227274,24
3,1.0,3538,1.0,0,7,800,600,1620,6331,12.764261701882237,7.244941546337007,62
3,2.5,7442,2.0,0,7,1730,0,1630,6458,12.409017571151187,7.456454555176209,28
2,2.0,9191,1.5,2,7,1420,0,1420,6816,13.292107839753712,7.259116128097101,87
4,1.75,7620,1.0,0,7,1180,1180,1910,7620,12.861001210669146,7.766840537085513,60
3,1.75,11455,1.0,0,7,1200,380,1550,10650,12.660331092405906,7.365812837209472,41
3,1.0,10170,1.0,0,7,1230,0,1380,10098,12.449022745701502,7.115582126184454,36
4,2.5,4425,2.0,0,8,2460,0,2990,5659,13.448786721172443,7.8083230503910555,9
3,1.0,4400,1.5,0,8,1460,200,1660,4400,13.567050480716235,7.415175109613295,104
3,1.75,8470,1.0,0,7,1270,0,1600,8470,12.37581963951765,7.147559271189454,55
3,2.25,40510,2.0,0,10,1320,780,2380,33450,13.171155446333852,7.650168700845001,36
2,1.0,5040,1.0,0,5,770,0,1330,2580,12.959846800844963,6.647688373563329,85
1,0.75,10079,1.0,4,5,760,0,1230,14267,12.820990681250251,6.634633357861686,79
4,2.5,7280,2.0,0,7,1700,0,1950,7475,12.577639650232573,7.438971592395862,27
3,1.0,10701,1.0,0,7,1120,0,1130,6350,12.560247968016562,7.02197642307216,61
2,1.0,4500,1.0,0,7,1070,0,1320,4465,12.936036208848487,6.976348070447749,78
3,2.5,9900,1.0,0,8,1420,650,2070,8250,12.515397562803473,7.635786861395585,36
4,3.25,20100,1.5,2,11,4750,300,3890,20060,14.88022163978423,8.527341522468053,7
4,4.75,57346,2.0,0,11,5310,0,4180,47443,14.126665719201661,8.577535420422398,26
2,1.0,7538,1.0,0,7,1040,0,1440,7530,12.985399815906522,6.947937068614969,76
3,1.0,11390,1.0,0,7,1700,0,1350,8164,12.25486757159303,7.438971592395862,48
3,1.0,5898,1.0,0,7,1300,0,1320,7619,12.371591321286905,7.170888478512505,54
3,1.75,1306,1.0,0,7,580,500,1440,2225,12.709876675502672,6.985641817639208,12
3,2.5,4510,2.0,0,8,2653,0,2653,4927,12.807655372286902,7.8838232148921525,9
3,2.0,16258,1.0,0,8,2290,0,1660,10530,13.017005083966255,7.736743682453495,55
4,2.75,26300,2.0,0,9,2850,970,1860,12136,13.554147092530322,8.2482674474469,1
4,2.5,49375,1.0,0,8,2210,0,2670,49385,13.02805489573287,7.701200180857446,18
3,1.75,6000,1.0,0,6,1240,1150,2020,6000,12.91164481522143,7.779466967458324,107
4,1.75,11325,1.0,0,7,1610,990,1720,11088,12.627742412734825,7.8636512654486515,46
2,1.0,5265,1.0,0,6,860,0,1650,8775,12.04355959836804,6.7580945044277305,84
5,3.0,8480,2.0,1,9,2630,1200,3050,7556,14.53335083891935,8.25088114470065,21
4,2.5,7048,2.0,0,9,3500,0,3920,7864,13.567050480716235,8.160803920954665,10
3,3.0,13959,1.0,0,8,1740,680,2570,13300,12.706850963741102,7.791935956938058,27
4,2.5,8666,2.0,0,9,2720,0,2410,8100,12.821260987319457,7.908754738783246,23
5,2.25,13500,1.0,0,7,1850,650,2300,9750,13.054086677976365,7.824445930877619,36
3,1.75,6720,1.0,0,7,1140,530,1670,7320,12.91164481522143,7.421177528595393,35
5,2.25,10300,1.0,0,8,1450,1450,2310,10300,13.42246945133505,7.972810784121404,30
2,1.0,14100,1.0,0,7,1140,500,1520,13527,13.122365377402328,7.403061091090091,61
4,2.5,15770,2.0,0,7,1890,0,2410,15256,12.873902018105829,7.544861068658458,47
4,1.75,9025,1.0,2,8,1780,1170,2120,9600,13.353476685668044,7.989899374942939,40
4,2.5,9528,2.0,0,9,2160,0,2280,9937,12.793862088206213,7.6783263565068856,23
4,3.0,11060,2.0,0,8,2270,1010,2320,11004,13.270785106659046,8.0959035329611,29
3,2.0,4166,2.0,3,8,1270,700,2390,4166,13.217675375388819,7.58629630715272,86
4,2.5,22111,2.0,0,10,3360,0,3150,11374,13.686541314323094,8.119993827725105,21
3,2.0,8959,1.0,0,7,1320,0,1740,7316,12.487488878546145,7.186144304522325,22
3,2.5,7286,2.0,0,8,2650,0,2400,7220,13.00919691893784,7.8826922062890254,25
3,1.5,8880,1.0,0,7,1330,700,2140,5592,12.90917263218775,7.616283561580385,52
3,1.75,11914,1.0,2,7,1090,500,1630,9052,12.496878583628968,7.372118028337787,58
